Year,Статус наблюдения,Множитель,Характер данных,FREQ,REPORTING_TYPE,SERIES,Территория,UNIT_MEASURE,Value
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Иссык-Кульская область,Процент,0.11
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Иссык-Кульская область,Процент,0.0
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Иссык-Кульская область,Процент,0.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Иссык-Кульская область,Процент,0.0
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Иссык-Кульская область,Процент,0.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Иссык-Кульская область,Процент,0.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Иссык-Кульская область,Процент,0.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Иссык-Кульская область,Процент,0.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Иссык-Кульская область,Процент,0.89
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Нарынская область,Процент,0.13
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Нарынская область,Процент,0.63
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Нарынская область,Процент,0.03
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Нарынская область,Процент,3.46
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Нарынская область,Процент,0.31
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Нарынская область,Процент,0.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Нарынская область,Процент,0.84
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Нарынская область,Процент,0.2
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Нарынская область,Процент,0.74
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Нарынская область,Процент,0.7
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Нарынская область,Процент,0.66
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Нарынская область,Процент,1.7
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Ошская область,Процент,0.33
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Ошская область,Процент,0.03
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Ошская область,Процент,0.0
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Ошская область,Процент,0.09
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Ошская область,Процент,0.0
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Ошская область,Процент,0.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Ошская область,Процент,0.0
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Ошская область,Процент,0.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Ошская область,Процент,0.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Ошская область,Процент,0.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Ошская область,Процент,0.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Ошская область,Процент,0.0
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Таласская область,Процент,0.0
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Таласская область,Процент,0.0
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Таласская область,Процент,0.0
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Таласская область,Процент,0.0
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Таласская область,Процент,0.0
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Таласская область,Процент,0.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Таласская область,Процент,0.0
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Таласская область,Процент,0.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Таласская область,Процент,0.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Таласская область,Процент,0.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Таласская область,Процент,0.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Таласская область,Процент,0.0
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Чуйская область,Процент,0.0
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Чуйская область,Процент,0.0
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Чуйская область,Процент,1.35
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Чуйская область,Процент,0.16
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Чуйская область,Процент,0.0
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Чуйская область,Процент,1.09
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Чуйская область,Процент,0.36
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Чуйская область,Процент,0.42
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Чуйская область,Процент,0.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Чуйская область,Процент,1.01
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Чуйская область,Процент,1.27
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",Чуйская область,Процент,0.32
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Бишкек,Процент,0.0
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Бишкек,Процент,0.02
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Бишкек,Процент,0.27
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Бишкек,Процент,0.0
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Бишкек,Процент,0.0
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Бишкек,Процент,0.03
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Бишкек,Процент,1.55
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Бишкек,Процент,0.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Бишкек,Процент,0.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Бишкек,Процент,0.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Бишкек,Процент,0.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Бишкек,Процент,0.33
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Ош,Процент,0.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Ош,Процент,0.0
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Ош,Процент,0.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Ош,Процент,0.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Ош,Процент,0.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Ош,Процент,0.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,"Доля населения, живущего за международной чертой бедности",г. Ош,Процент,0.0
