Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2014,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Naryn,Percent,0.2
2015,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Naryn,Percent,0.74
2016,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Naryn,Percent,0.7
2017,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Naryn,Percent,0.66
2018,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Naryn,Percent,1.7
2007,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh,Percent,0.33
2008,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh,Percent,0.03
2009,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh,Percent,0.0
2010,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh,Percent,0.09
2011,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh,Percent,0.0
2012,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh,Percent,0.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh,Percent,0.0
2014,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh,Percent,0.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh,Percent,0.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh,Percent,0.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh,Percent,0.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh,Percent,0.0
2007,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Talas,Percent,0.0
2008,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Talas,Percent,0.0
2009,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Talas,Percent,0.0
2010,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Talas,Percent,0.0
2011,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Talas,Percent,0.0
2012,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Talas,Percent,0.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Talas,Percent,0.0
2014,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Talas,Percent,0.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Talas,Percent,0.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Talas,Percent,0.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Talas,Percent,0.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Talas,Percent,0.0
2007,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Chui,Percent,0.0
2008,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Chui,Percent,0.0
2009,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Chui,Percent,1.35
2010,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Chui,Percent,0.16
2011,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Chui,Percent,0.0
2012,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Chui,Percent,1.09
2013,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Chui,Percent,0.36
2014,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Chui,Percent,0.42
2015,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Chui,Percent,0.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Chui,Percent,1.01
2017,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Chui,Percent,1.27
2018,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Chui,Percent,0.32
2007,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Bishkek (city),Percent,0.0
2008,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Bishkek (city),Percent,0.02
2009,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Bishkek (city),Percent,0.27
2010,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Bishkek (city),Percent,0.0
2011,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Bishkek (city),Percent,0.0
2012,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Bishkek (city),Percent,0.03
2013,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Bishkek (city),Percent,1.55
2014,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Bishkek (city),Percent,0.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Bishkek (city),Percent,0.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Bishkek (city),Percent,0.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Bishkek (city),Percent,0.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Bishkek (city),Percent,0.33
2012,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh (city),Percent,0.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh (city),Percent,0.0
2014,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh (city),Percent,0.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh (city),Percent,0.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh (city),Percent,0.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh (city),Percent,0.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of population below international poverty line,Osh (city),Percent,0.0
